player,predicted_points_actual,predicted_points_xg
Mohamed Salah,220.31481579159401,246.53967949201
Raheem Sterling,220.75985654984402,241.66084540096398
Paul Pogba,176.261733786638,202.922922496922
Sadio Mané,175.95616907416002,199.31376204384802
Eden Hazard,201.926929468062,198.999148373322
Pierre-Emerick Aubameyang,168.22276603980401,176.493473747474
Andrew Robertson,190.171489204604,176.000873507452
Aymeric Laporte,186.5814852006,174.659463814438
Sergio Agüero,191.264084774612,172.472494162966
Virgil van Dijk,162.519950801976,171.028666144776
Bernardo Silva,174.10150658408,170.416245007094
Christian Eriksen,169.77031851778202,170.227913667456
Ederson,173.5211568556,168.387980932
César Azpilicueta,176.440236502816,168.06138514940199
Kyle Walker,168.196713205432,166.735665911368
David Silva,149.20554690482,165.29192133656
Luka Milivojević,145.498269927038,163.149472865244
Harry Kane,158.80692079714,160.00959878573602
Gylfi Sigurðsson,146.630712399952,159.544510426244
Marcos Alonso,157.745340153736,159.04008408283
David Luiz,151.280414831456,158.55363410069
Matt Doherty,152.198158118632,157.490646546822
Matt Ritchie,134.589571043744,157.4162439422
Leroy Sané,170.0618729985,153.25771713896398
Toby Alderweireld,131.287189288,151.090191453556
Trent Alexander-Arnold,149.100126486672,150.466438312038
Antonio Rüdiger,138.071955721,150.41036861593
Kieran Trippier,123.459894696736,148.177683964768
Lewis Dunk,137.777761366,147.14171920644202
Alexandre Lacazette,145.754127770768,146.840538601118
Richarlison,137.40590525708,146.365573303164
Son Heung-min,147.38838890756,146.02354436893802
Patrick van Aanholt,144.43395524764,145.591995333722
Luke Shaw,149.014981166808,144.809820931022
Raúl Jiménez,134.446724755156,144.766250588684
Shane Duffy,141.156901831352,144.701111095268
Roberto Firmino,132.669308750668,144.243576913612
Ryan Fraser,129.77020252235,144.076707629316
Jamie Vardy,131.790983222744,143.169157276082
Nathan Aké,133.194837151004,142.09982069748202
Romelu Lukaku,105.67205345112801,142.009616573422
David de Gea,141.903103652,141.903103652
Ashley Young,140.309671523112,140.799188402264
Michael Keane,122.4638250488,139.732577240622
Lucas Digne,130.10127483462,139.711326790208
James Maddison,113.716690393686,138.384057266714
Nathan Redmond,120.986032976484,137.431183052314
Marcus Rashford,133.562402508658,136.265477151194
Ayoze Pérez,120.35370660538,135.666544808492
Wilfried Zaha,135.76038337934,134.980941943446
Craig Cathcart,132.182775622,134.063544054706
John Stones,129.031323916,132.10166982622601
Victor Lindelöf,132.029814798608,131.82110501732
Abdoulaye Doucouré,131.78603995217,131.42165115038
Troy Deeney,96.232786876368,130.935846225956
Ben Chilwell,127.101070718,130.893768753268
Shkodran Mustafi,129.430006187024,130.63340470358
Callum Wilson,112.139225012564,130.160463163202
Hugo Lloris,129.776128564,129.776128564
Willy Boly,134.106280004128,129.60395551701401
Aleksandar Mitrović,103.857714113476,129.310458589996
Willian,104.896135903832,128.923540146726
Andros Townsend,113.59288074593,128.793867045142
İlkay Gündoğan,106.66525822643,128.430164419
Danny Rose,128.0464802696,127.945893873208
Sean Morrison,100.3829954812,126.192905171024
Alisson,126.116587404,126.116587404
Salomón Rondón,102.690861319974,125.836607860948
Joshua King,105.86041737466999,125.340845701658
Ben Foster,124.707537032,125.332924170596
Jordan Pickford,124.308090856,124.308090856
N'Golo Kanté,118.208770738328,123.817940190842
Sead Kolašinac,116.740737375232,123.06167090424199
Séamus Coleman,112.550800139004,122.648638702364
Ricardo Pereira,135.236140059,122.177198805448
Pedro,106.05433156653001,121.89027839613
James McArthur,112.700531765948,121.400031211222
Riyad Mahrez,130.72844259313,120.955535260986
Roberto Pereyra,106.925485235474,120.866842181522
Kepa Arrizabalaga,120.780766584,120.780766584
Davinson Sánchez,112.887784539364,120.39328803901999
Kurt Zouma,131.3300855862,119.935071605784
James Tarkowski,121.377600567,119.890446975534
Lucas Moura,119.04421789850001,119.262650477114
Dele Alli,98.57606654397,118.753267115956
Solly March,96.8035351852,118.50710777941201
Ben Mee,113.3697587568,118.147644561844
Aaron Wan-Bissaka,119.408152278,118.085342579916
Anthony Martial,113.14608077382,117.39182951615999
Harry Maguire,112.945930286,116.06306594996
James Tomkins,106.311653933548,115.32515289135
Kasper Schmeichel,115.027498184,115.20744306476
James Milner,107.50234204769801,114.586696831738
Mathew Ryan,114.22241732,114.22241732
Jan Vertonghen,106.4816058918,113.611755859452
Wilfred Ndidi,97.142783312,113.366266671208
Theo Walcott,86.566350959224,113.07943722473199
Ryan Bennett,99.4978370358,112.507736224944
Conor Coady,112.328063492,112.328063492
Łukasz Fabiański,111.767215904,112.17609539156
Ben Davies,99.691909704,111.744573461916
Bernd Leno,111.713733804,111.713733804
Michail Antonio,89.74538481448,111.60959615753201
Ashley Barnes,95.221100066428,111.380184117622
Martin Dúbravka,110.796086156,110.796086156
DeAndre Yedlin,105.0818541424,110.62455125695601
Jesse Lingard,88.994633099988,110.00256473720799
Felipe Anderson,111.37646690227,109.619423826668
Rui Patrício,109.328063492,109.328063492
Jonny Castro,104.8529719978,109.075398207
Georginio Wijnaldum,96.97213486343,108.462911721968
Alex Iwobi,92.712668074894,108.40263042006
Marko Arnautović,82.583628413504,108.363249591212
Bruno Ecuele Manga,104.08606348880001,108.187282824212
Chris Smalling,103.8093682706,108.100723730624
Charlie Taylor,107.0666361728,107.79478582832
Glenn Murray,102.50091929888,107.65031248344799
José Holebas,122.056906992912,107.422762269152
Anthony Knockaert,100.3072034953,106.980051512476
Diogo Jota,93.85997535248801,106.96977855589199
Fernandinho,98.775002391896,106.596181986306
Jóhann Berg Guðmundsson,76.4066975798,106.014367768838
Gabriel Jesus,100.194300450718,105.586792875456
Christopher Schindler,103.64305289240001,105.192738649952
Jamaal Lascelles,98.323962762728,103.627457300084
Nacho Monreal,104.85028990478,103.59726167198
Víctor Camarasa,98.67949947915,103.567366243022
Chris Wood,90.435729603472,103.07129695575199
Steve Cook,101.595460224,103.046267628108
Nicolás Otamendi,96.90768824,102.84261783107
Gerard Deulofeu,92.338651738888,102.63324467959
Pierre Højbjerg,99.66112866962,102.288232400616
João Moutinho,99.51141123803,102.139416607292
Neil Etheridge,100.121084924,100.121084924
Henrikh Mkhitaryan,94.5779506595,99.14467583134599
Moussa Sissoko,83.531948078532,99.142373977348
Ashley Westwood,92.8606243401,99.013085340998
James Ward-Prowse,85.1209008807,98.48639531198
Jack Cork,92.9221015231,98.252986197318
Kevin De Bruyne,75.988766954034,98.18549120875001
Joël Matip,87.48011746,98.16991109812
Issa Diop,93.865512442728,97.962606260256
Jorginho,88.60609954487,96.941572242888
Will Hughes,90.214699053332,96.665118374202
Kiko Femenía,94.871835666424,96.508454083198
Terence Kongolo,91.5289330124,95.9938581116
Aaron Ramsey,95.71160425535,95.506163640644
Ross Barkley,77.73961791449601,95.289395986612
Adrian Mariappa,88.019049568,95.015153487598
Davy Pröpper,96.65432406800001,94.283517504474
Demarai Gray,88.361299857904,93.73456859074801
Xherdan Shaqiri,96.461975835332,92.512029607648
Sokratis Papastathopoulos,90.220278227664,92.438999442266
Granit Xhaka,97.245622476786,92.219170379604
David Brooks,85.72163416659001,91.77400180420399
Mamadou Sakho,86.777105106424,91.677812965762
Héctor Bellerín,81.963872359536,91.373483546684
Robert Snodgrass,72.430242622044,90.987964013582
Wes Morgan,90.3956767924,90.905896842784
Étienne Capoue,89.828202422988,90.743007850478
Ryan Bertrand,84.6352132488,90.101071405554
Rúben Neves,83.94756828953,89.586626043376
Joe Bennett,82.33395960280001,88.892551829284
Dale Stephens,86.09316878050001,87.57535430165
Denis Odoi,84.286977968,87.342455642488
Vincent Kompany,89.327672372,87.336646706084
Bernard,71.320403358472,87.014093426224
Pablo Zabaleta,86.087745339704,86.90144451002
Jonas Lössl,86.9365328264,86.666239512144
Jeffrey Schlupp,81.08697388943,86.56028349949
Sol Bamba,88.7076691052,86.061103462352
Jan Bednarek,84.53682998240001,85.93910022624
Angelo Ogbonna,79.235629501052,85.627615725044
Pascal Groß,68.69300782595,85.607788637168
Junior Hoilett,73.9734201094,85.41204509159401
Declan Rice,86.604334908,85.176452443332
Jonny Evans,88.4996389444,85.126498877818
Chris Löwe,79.0151366568,84.653752187584
Lucas Torreira,88.223486271882,83.882926642818
Aaron Mooy,68.17417799900001,83.8104718239
Martín Montoya,80.7220451376,83.742471968854
Andre Gray,81.58716636347,83.505584460908
Nemanja Matić,74.90992702518,83.486190939274
Idrissa Gana Gueye,84.28558401755001,83.437626854922
Jack Stephens,81.7656820808,83.429571165104
Christian Kabasele,76.826336412,83.332916129088
Aron Gunnarsson,70.7347494047,83.14162029517
Alex Pritchard,64.43550814,82.59681164710601
Mathias Jørgensen,91.8601651224,82.596586386174
Mark Noble,84.31303583107601,82.240042835544
Danny Ings,67.487231693778,82.14616839513
Mesut Özil,82.573805449788,82.001289405906
Ryan Sessegnon,76.882753096332,81.834833845156
Laurent Koscielny,84.34233062695999,81.494176710872
Daryl Janmaat,75.756611714,80.84261482873801
Dominic Calvert-Lewin,78.594649403512,80.80890517085
Nathaniel Clyne,78.276629916,80.719096451988
Steve Mounié,64.27148696,80.652066121092
Calum Chambers,72.901454167,79.944175330806
Joe Bryan,70.342756808,79.887754094134
Florent Hadergjonaj,69.882122012,79.794742531364
Asmir Begović,79.719688264,79.719688264
Adam Smith,76.795962591,79.710590884314
Sergio Rico,79.162355868,79.682085559566
Jeff Hendrick,74.7248303325,79.57114351706001
Cheikhou Kouyaté,71.1584953826,79.27903718482
Gaëtan Bong,75.48901944,79.222308235902
Jordan Henderson,73.376696801948,79.113930163662
Diogo Dalot,77.117651692064,79.059210086998
Mateo Kovačić,69.5772700836,78.633545361416
Callum Paterson,59.8611686129,78.325163709024
Maya Yoshida,65.168695529536,78.20621108929001
Alex McCarthy,77.961291848,77.961291848
Erik Durm,75.9957817168,77.55198183645
Fabian Schär,80.238857023908,77.51473023658001
Charlie Daniels,73.3434610981,77.2880827625
Jean Seri,62.551537245300004,77.198506242516
Oleksandr Zinchenko,84.841640427992,76.806498936862
Philip Billing,66.350966657,76.37246186624
Juan Mata,76.223951068064,76.326532642558
Paul Dummett,73.259159616,75.329422845924
Ainsley Maitland-Niles,74.3868777148,75.250438508422
Bernardo,70.8677533944,75.18914362386
Cyrus Christie,69.1229227808,74.665935645596
Jürgen Locadia,64.343040682,74.033505157742
Oriol Romeu,68.1603241675,73.25996665008
Jefferson Lerma,71.1685737071,73.219724365292
Max Meyer,58.65574423625,73.044201228914
Arthur Masuaku,72.818027980672,72.73209502663
André Gomes,69.34581396990001,72.55879772375
Tim Ream,71.173357112,72.22659232064
Mohamed Diamé,65.058591,72.093899822984
Phil Jones,70.17048259204,72.07083051022
Christian Atsu,56.1483956675,71.642401632578
Joe Gomez,61.507072684,71.49524292067
Aaron Cresswell,68.4709245968,71.460446572536
Yan Valery,77.35071811656,71.12349318472201
Jannik Vestergaard,66.286802704,70.802711811232
Josh Murphy,71.80819469255,70.504449960156
Érik Lamela,77.66493227511,70.219930681644
Yves Bissouma,54.020252298,69.598874726634
Dejan Lovren,68.2304466647,69.473807770736
Ruben Loftus-Cheek,79.184756225172,69.428818695812
Mattéo Guendouzi,62.128103780000004,69.397708502644
Tom Cairney,57.793702706914004,68.92958631206
Fabián Balbuena,64.7593233644,67.989681752264
Kelechi Iheanacho,58.869310627852,67.783094681094
Danilo,69.217332265496,67.714887555394
Shane Long,64.22349576761,67.698145875048
Jonathan Hogg,66.4771886012,67.427781316778
Ander Herrera,68.02915196625,67.354648095436
