team,pred_goals_scored,team_goals
Huddersfield,0.77727,0.633803
Swansea City,1.004197,0.787879
West Brom,1.015036,0.818182
Cardiff City,0.959556,0.894737
Fulham,0.959531,0.894737
Stoke City,1.062157,0.909091
Brighton,1.026374,0.915493
Burnley,1.168252,1.056338
Newcastle Utd,1.127983,1.056338
Southampton,1.13679,1.098592
Wolves,1.217523,1.236842
Watford,1.203933,1.253521
Crystal Palace,1.205815,1.352113
Everton,1.342606,1.352113
West Ham,1.214085,1.352113
Bournemouth,1.236662,1.380282
Leicester City,1.394011,1.408451
Chelsea,1.88541,1.647887
Manchester Utd,1.888282,1.647887
Tottenham,1.99513,1.887324
Arsenal,1.80853,1.971831
Liverpool,2.089827,2.309859
Manchester City,2.31715,2.605634
