,player,total_points,mins,pos,actual_rank
0,Aaron Cresswell,33.0,1589.0,DEF,332.5
1,Aaron Lennon,41.0,1215.0,MID,294.5
2,Aaron Mooy,75.0,2330.0,MID,177.0
3,Aaron Ramsey,88.0,1331.0,MID,133.5
4,Aaron Rowe,2.0,69.0,FWD,472.0
5,Aaron Wan-Bissaka,123.0,3314.0,DEF,69.0
6,Abdelhamid Sabiri,2.0,48.0,FWD,472.0
7,Abdoulaye Doucouré,134.0,3422.0,MID,54.0
8,Aboubakar Kamara,31.0,693.0,MID,338.0
9,Adam Lallana,17.0,468.0,MID,387.5
10,Adam Masina,26.0,1274.0,DEF,357.0
11,Adam Smith,68.0,2066.0,DEF,199.5
12,Adama Diakhaby,16.0,552.0,MID,392.0
13,Adama Traoré,44.0,989.0,FWD,283.5
14,Ademola Lookman,32.0,649.0,MID,335.5
15,Adrian Mariappa,55.0,2107.0,DEF,239.0
16,Adrien Silva,3.0,88.0,MID,460.5
17,Ainsley Maitland-Niles,32.0,1122.0,DEF,335.5
18,Alberto Moreno,4.0,154.0,DEF,451.5
19,Aleksandar Mitrović,128.0,3370.0,FWD,60.0
20,Alex Iwobi,93.0,2085.0,MID,125.5
21,Alex McCarthy,69.0,2250.0,GK,195.5
22,Alex Oxlade-Chamberlain,2.0,21.0,MID,472.0
23,Alex Pritchard,66.0,2081.0,MID,203.5
24,Alexander Sørloth,12.0,185.0,FWD,409.0
25,Alexandre Lacazette,157.0,2682.0,FWD,29.5
26,Alexis Sánchez,39.0,888.0,MID,305.0
27,Alfie Mawson,17.0,1131.0,DEF,387.5
28,Alireza Jahanbakhsh,40.0,1295.0,MID,300.0
29,Alisson,172.0,3420.0,GK,21.0
30,Ander Herrera,60.0,1465.0,MID,221.5
31,Andre Gray,96.0,1590.0,FWD,115.0
32,Andre-Frank Zambo Anguissa,41.0,1697.0,MID,294.5
33,Andreas Christensen,28.0,707.0,DEF,349.5
34,Andreas Pereira,30.0,719.0,MID,340.5
35,Andrew Robertson,203.0,3216.0,DEF,8.0
36,Andrew Surman,36.0,1439.0,MID,320.5
37,Andriy Yarmolenko,24.0,459.0,MID,365.5
38,Andros Townsend,140.0,3100.0,MID,44.5
39,André Gomes,73.0,2132.0,MID,184.5
40,André Schürrle,74.0,1672.0,MID,180.5
41,Andy Carroll,12.0,461.0,FWD,409.0
